[2016-05-16 13:30:02,517] [INFO] [QOSBaoMoi.java:119] App start running
[2016-05-16 13:30:03,154] [INFO] [QOSBaoMoi.java:139] Submit stats at 1463380202, Mozilla/4.0
[2016-05-16 13:30:04,419] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to mp3.zing.vn/120.138.69.123:80
[2016-05-16 13:30:04,429] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to mp3.zing.vn/120.138.69.123:80
[2016-05-16 13:30:05,385] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:05,393] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:05,447] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/6/f/6f11f6fe75d14079372024fa30cb3e1b_1463021843.jpg
[2016-05-16 13:30:05,454] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:05,460] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:05,499] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/6/f/6f11f6fe75d14079372024fa30cb3e1b_1463021843.jpg
[2016-05-16 13:30:05,510] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:05,519] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:05,648] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/d/a/da89a1eb362977665f7e29b3195a81b9_1462934199.jpg
[2016-05-16 13:30:05,656] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:05,665] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:05,715] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/8/6/865a92fc260d6a4fcf8f88d08355f8c2_1462939451.jpg
[2016-05-16 13:30:05,726] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:05,731] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:05,802] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/e/5/e5dbbbdbfc3b3a4aaee18f0e36697e9b_1462848320.jpg
[2016-05-16 13:30:06,035] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:06,042] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:06,098] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/js/jquery-2.1.0.min.js
[2016-05-16 13:30:06,108] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:06,111] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:06,178] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/jquery.mousewheel.min.js
[2016-05-16 13:30:06,184] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:06,187] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:06,236] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/jquery.cookie.js
[2016-05-16 13:30:06,262] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.adtimaserver.vn/120.138.69.8:80
[2016-05-16 13:30:06,267] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.adtimaserver.vn/120.138.69.8:80
[2016-05-16 13:30:06,316] [INFO] [QOSBaoMoi.java:427] 200 - http://static.adtimaserver.vn/resource/js/adtima_ads_zingmp3.2.js
[2016-05-16 13:30:06,327] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:06,330] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:06,403] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/slider/slick.min.js
[2016-05-16 13:30:06,605] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:06,607] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:06,660] [INFO] [QOSBaoMoi.java:572] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/css/style-8.3.css
[2016-05-16 13:30:06,664] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:06,666] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:06,697] [INFO] [QOSBaoMoi.java:572] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/slider/slick.css
[2016-05-16 13:30:40,373] [INFO] [QOSBaoMoi.java:119] App start running
[2016-05-16 13:30:40,571] [INFO] [QOSBaoMoi.java:139] Submit stats at 1463380240, Mozilla/4.0
[2016-05-16 13:30:40,995] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to mp3.zing.vn/120.138.69.123:80
[2016-05-16 13:30:41,003] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to mp3.zing.vn/120.138.69.123:80
[2016-05-16 13:30:41,613] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:41,617] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:41,671] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/6/f/6f11f6fe75d14079372024fa30cb3e1b_1463021843.jpg
[2016-05-16 13:30:41,678] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:41,682] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:41,730] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/6/f/6f11f6fe75d14079372024fa30cb3e1b_1463021843.jpg
[2016-05-16 13:30:41,735] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:41,741] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:41,802] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/d/a/da89a1eb362977665f7e29b3195a81b9_1462934199.jpg
[2016-05-16 13:30:41,808] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:41,814] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:41,892] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/8/6/865a92fc260d6a4fcf8f88d08355f8c2_1462939451.jpg
[2016-05-16 13:30:41,901] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:41,922] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:30:42,006] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/e/5/e5dbbbdbfc3b3a4aaee18f0e36697e9b_1462848320.jpg
[2016-05-16 13:30:42,275] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,278] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,321] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/js/jquery-2.1.0.min.js
[2016-05-16 13:30:42,325] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,328] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,391] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/jquery.mousewheel.min.js
